word,type,lang,count
#DateRush,MONEY,en,1
the Zero Discrimination Day,EVENT,en,1
"March 1, 2014",DATE,en,1
UNAIDS,ORG,en,1
December 2013,DATE,en,1
#ZeroDiscriminationDay,MONEY,en,1
#DoYouHaveHoil #mondaythoughts,MONEY,en,1
#FamilyMeeting #mondaythoughts,MONEY,en,1
https://t.co/pEJWENNCyB,ORG,en,1
#EndTheSiegeInKashmir #XiaoZhan #,MONEY,en,1
https://t.co/7wCDPIBAoh,ORG,en,1
BODY,FAC,en,1
SOUL,WORK_OF_ART,en,1
SOSColombiaDDHH,MONEY,en,1
"2,943",CARDINAL,en,1
395,CARDINAL,en,1
April 29,DATE,en,2
the Union Ministry of Health and Family Welfare,ORG,en,1
MoHF,PERSON,en,1
between 8:00 am to 6:00 pm,TIME,en,1
matury2021,PERSON,en,1
Unjuman Farooq,PERSON,en,1
Thang-Ta,PERSON,en,4
Kho Kho Ultimate League,ORG,en,1
#Pakistan #SOSColombiaDDHH https://t.co/9GnoYUn5nR,MONEY,en,1
#Pakistan #SOSColombiaDDHH https://t.co/R8yBeAf3ER,MONEY,en,1
21 years old,DATE,en,2
Graphic Artist,PERSON,en,2
Shutter Bug,PERSON,en,1
Apple Bowl,ORG,en,1
#Pakistan #SOSColombiaDDHH,MONEY,en,4
https://t.co/5nQ6NEheEg,ORG,en,1
#Pakistan #SOSColombiaDDHH #,MONEY,en,1
Ramazan https://t.co/A8OUDJaqUS,PERSON,en,1
Ramazan https://t.co/anF9TCDd6p,PERSON,en,1
Ramazan https://t.co/KMfvP0PQbI,PERSON,en,1
4.12L #,MONEY,en,1
"3,980",CARDINAL,en,1
#Pakistan #SOSColombiaDDHH https://t.co/laDyhSMGM7,MONEY,en,1
UG #,FAC,en,1
Jummah Tul,ORG,en,1
May this last friday,DATE,en,1
the last nights,DATE,en,1
CLSA,ORG,en,1
https://t.co/jwuraPZjOp,ORG,en,1
Heerpura of Pulwama,GPE,en,2
about a decade ago,DATE,en,2
Junaid Shabir,PERSON,en,2
Cambridge University,ORG,en,2
Ummer Khan,PERSON,en,1
Salman Khan's,PERSON,en,2
Wolf,PERSON,en,2
#ZIMvPAK https://t.co/3VLC0fL7nP,MONEY,en,1
M S Dhoni,ORG,en,1
https://t.co/HnQcqHf6zy,WORK_OF_ART,en,1
Moomin Kashmir,PERSON,en,1
Young Social Activist,ORG,en,1
https://t.co/dqqAO39sWu,ORG,en,1
Owais Yaqoob,PERSON,en,1
Mixed Martial Arts,ORG,en,1
https://t.co/mJ8k6zUJiM,PRODUCT,en,1
SaudiArabia,PERSON,en,1
"5,443",CARDINAL,en,1
COVID19 SoPs,PERSON,en,1
the first quarter of calendar year 2021,DATE,en,1
#Bakarwal #,MONEY,en,2
Bakarwal Muslims,PERSON,en,1
Kashmiri #Gujjar #Bakarwal,ORG,en,2
Bisma,PERSON,en,1
Aamina Hamid,PERSON,en,1
Lasjan Srinagar,GPE,en,1
https://t.co/M3sbr59wPB,ORG,en,1
Raat Mubarak,PERSON,en,1
May Allah Blessed You,PERSON,en,1
SHIB https://t.co/Xl4ZAvmONd,PERSON,en,1
Zabrain Wandroo,PERSON,en,1
VijayDeverakonda,ORG,en,2
60 #,DATE,en,1
"4,788",CARDINAL,en,1
National Task Force,ORG,en,2
3 to 4 weeks,DATE,en,1
Khuroo,PERSON,en,1
Kashmir Food Fusion',ORG,en,3
Amma,PERSON,en,1
Olympian,NORP,en,1
Meet Waleed bin Saif:,PERSON,en,1
#young #achiever #culture #,MONEY,en,1
perform &amp,ORG,en,1
#Urifestival #,MONEY,en,1
