word,type,lang,count
@halupulisi,PER,fr,1
RT,ORG,es,13
@FriciliaMutiara Dingin,PERSON,en,1
RT @FiersaBesari,ORG,es,2
Lagi rame Apoy-apoyan,MISC,es,1
RT @merryggugi,ORG,en,1
Army,ORG,en,14
mutualan yuk,PERSON,en,13
nctzen &amp,ORG,en,3
RT @nanik_lisniati: Army,ORG,en,5
Mutualan,PERSON,en,14
Hallo,ORG,en,1
wayzenni,ORG,en,5
♡,ORG,en,1
RT @cxarfgyvhu,PERSON,en,1
health &lt;333,ORG,en,1
RT,ORG,fi,1
@littleskilled,PRODUCT,fi,1
RT @chxchimmy,ORG,en,1
jimin b'day,PERSON,en,1
mau cari mutualan army,ORG,en,1
thankuuu&lt;3,PERSON,en,1
RT @soodamisloml,ORG,en,1
💖,FAC,en,1
LOCKEY,MONEY,en,1
RT @YANGIN01_,ORG,en,1
morning,TIME,en,3
a nice day,DATE,en,1
RT @jncherl,ORG,en,2
mari mutualan,PERSON,en,9
RT @ntsana,ORG,en,50
RT @baeki_100hyun,ORG,en,1
06,CARDINAL,en,2
pledis,ORG,ja,1
17: [17',TIME,ja,1
makin dewasa,PERSON,en,2
White Veined Marble,ORG,en,1
RT @rabbitsnoow,ORG,en,3
yukk mutualan,PERSON,en,3
nctzen wayzenni exol,PERSON,en,3
dubai,GPE,en,2
RT @miyaskjin:,ORG,en,2
RT,ORG,nl,1
ROSÉ,ORG,nl,1
TEASER,ORG,nl,1
POSTER,NORP,nl,1
#ROSÉ,ORG,nl,1
#,ORG,nl,1
BLACKPINK,ORG,nl,1
#,NORP,nl,1
20210312,DATE,nl,1
#RELEASE,EVENT,nl,1
YG https://t.co/fHKA69YDIh,GPE,nl,1
RT @mr_wemz,ORG,en,1
@FiersaBesari true bung,PRODUCT,en,1
RT @vantaenv,ORG,en,1
lo sokap,PERSON,en,1
@Bigmommm,ORG,en,1
@MUTUALANDFESS Yoks,ORG,en,1
RT @ccmrklee,PERSON,en,9
NCTZEN WAYZENNI AYO MUTUALAN,ORG,en,9
RT @Cicelycalil: Army,ORG,en,3
1,CARDINAL,en,6
8k,CARDINAL,en,1
4,CARDINAL,en,3
2Ok,CARDINAL,en,1
T. Yang,PERSON,en,1
hai,GPE,en,23
@purplerawrr,ORG,en,1
every1,PERSON,en,1
ayoo mutualan,PERSON,en,1
COVID-19,ORG,en,7
RT @majelismeyong,ORG,de,1
mutualan,ORG,en,2
@uculbat alooo,LOC,es,1
@fckkey haloo,PERSON,en,1
@nnannaanan haloo,PERSON,en,1
haloo,PERSON,en,4
@papawwz haloo,PERSON,en,1
RT @convomf,ORG,de,2
🧇,MISC,de,2
🧀,MISC,de,2
…,MISC,de,2
RT @nyemulee,PERSON,en,3
Hayuk,ORG,en,3
#,CARDINAL,en,114
Teume,GPE,en,3
